Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2023-02-14,Breakfast,11:20 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-02-14,Breakfast,11:25 AM,710.0,24.5,6.3,0.0,4.5,0.0,140.0,970.0,400.0,91.5,2.5,26.5,33.0,15.0,1.0,31.0,2.0,
2023-02-14,Breakfast,11:30 AM,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-02-14,Lunch,4:35 PM,493.5,17.6,4.7,1.6,1.0,0.0,101.1,883.4,480.8,76.3,6.4,2.8,13.4,0.0,224.5,7.3,6.2,
2023-02-14,Dinner,8:20 PM,835.0,40.0,14.5,3.5,11.0,1.0,175.0,2050.0,1321.0,69.0,7.0,3.0,45.0,133.0,56.0,59.0,45.0,
2023-02-14,Dinner,8:35 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-02-14,Dinner,11:05 PM,50.0,1.0,0.3,0.0,0.5,0.0,25.0,55.0,0.0,0.5,0.0,0.5,11.0,0.0,1.0,1.0,2.0,
2023-02-14,Snacks,1:40 PM,160.0,6.0,2.5,0.0,0.0,0.0,30.0,120.0,0.0,26.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,
2023-02-14,Snacks,5:35 PM,160.0,6.0,2.5,0.0,0.0,0.0,30.0,120.0,0.0,26.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,
2023-02-16,Breakfast,10:45 AM,250.0,10.5,2.5,2.5,3.0,0.0,0.0,130.0,380.0,29.0,2.0,26.0,8.0,0.0,0.0,45.0,7.2,
2023-02-16,Lunch,1:55 PM,72.3,6.3,0.8,2.0,3.1,0.0,0.0,2.3,89.9,2.1,1.1,0.6,3.3,0.0,0.0,1.2,3.2,
2023-02-16,Lunch,2:15 PM,274.3,2.1,0.4,0.5,0.7,0.0,37.8,141.0,138.6,45.0,1.0,0.0,15.7,0.0,0.0,0.3,1.0,
2023-02-16,Dinner,9:20 PM,140.0,1.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,26.0,1.0,4.0,6.0,0.0,0.0,10.0,11.1,
2023-02-16,Dinner,11:40 PM,120.0,7.0,2.5,0.0,0.0,0.0,50.0,630.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,
2023-02-16,Dinner,11:45 PM,111.0,0.9,0.2,0.2,0.3,0.0,15.1,70.0,78.1,20.8,0.3,20.4,4.9,0.0,8.1,0.6,0.7,
2023-02-16,Snacks,10:40 AM,402.0,20.3,4.5,0.0,0.0,0.0,6.3,964.0,80.0,48.5,3.3,2.3,5.3,0.0,0.0,12.5,3.3,
2023-02-16,Snacks,5:20 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-02-16,Snacks,5:25 PM,140.0,1.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,26.0,1.0,4.0,6.0,0.0,0.0,10.0,11.1,
2023-02-16,Snacks,5:30 PM,52.5,0.4,0.0,0.0,0.0,0.0,26.3,225.0,157.5,0.0,0.0,0.0,12.8,0.0,0.0,0.0,2.9,
2023-02-16,Snacks,5:35 PM,62.6,5.2,0.8,3.0,1.3,0.0,2.5,45.8,29.2,4.1,0.3,0.8,0.4,0.0,2.5,0.5,0.2,
2023-02-16,Snacks,9:20 PM,226.1,0.6,0.0,0.0,0.0,0.0,26.3,249.4,172.1,43.1,0.2,40.4,13.1,0.0,1.2,0.2,3.0,
2023-02-17,Breakfast,11:15 AM,349.2,12.6,2.9,3.2,1.6,0.0,74.4,958.3,178.2,28.7,1.1,4.2,30.8,0.0,0.6,10.2,18.2,
2023-02-17,Breakfast,11:20 AM,209.4,8.4,2.3,1.4,2.5,0.0,0.0,90.5,358.5,27.7,2.0,25.0,4.7,0.0,22.1,23.6,4.8,
2023-02-17,Lunch,2:45 PM,56.7,4.9,0.6,1.6,2.4,0.0,0.0,1.8,70.5,1.6,0.9,0.5,2.6,0.0,0.0,0.9,2.5,
2023-02-17,Lunch,3:55 PM,45.1,0.3,0.0,0.1,0.1,0.0,0.0,1.7,141.1,11.3,1.5,9.0,0.7,0.0,37.8,3.1,0.7,
2023-02-17,Lunch,4:15 PM,272.1,7.3,2.1,0.3,0.3,0.0,52.6,753.6,223.9,30.0,2.0,6.0,21.9,0.0,22.1,11.2,17.2,
2023-02-17,Dinner,9:00 PM,113.5,3.3,1.0,0.0,0.0,0.0,20.0,255.0,51.9,13.7,1.4,1.2,7.4,0.0,10.9,0.6,2.9,
2023-02-17,Dinner,10:40 PM,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,
2023-02-17,Dinner,11:15 PM,271.5,1.5,0.0,0.0,0.0,0.0,35.0,520.6,210.0,39.5,1.3,4.0,24.2,0.0,0.0,10.0,15.0,
2023-02-17,Snacks,5:05 PM,60.0,3.5,1.5,0.0,0.0,0.0,5.0,50.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,
2023-02-17,Snacks,5:30 PM,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,
2023-02-17,Snacks,5:45 PM,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,67.0,4.0,0.0,
2023-02-18,Breakfast,5:50 AM,135.0,15.0,2.3,9.0,3.8,0.0,7.5,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-02-18,Breakfast,6:10 AM,292.5,3.2,0.1,0.0,0.0,0.0,50.0,1240.6,211.2,41.5,2.5,11.2,24.6,2.5,48.6,10.3,16.0,
2023-02-18,Breakfast,8:35 AM,195.0,8.3,2.3,1.3,2.5,0.0,0.0,85.0,190.0,24.5,1.0,23.0,4.0,0.0,0.0,22.5,3.6,
2023-02-18,Breakfast,11:25 AM,284.0,6.6,0.9,3.0,1.3,0.0,21.8,430.8,334.0,41.4,2.6,11.4,16.2,2.5,9.2,10.4,14.2,
2023-02-18,Lunch,2:30 PM,142.0,7.6,2.5,0.0,0.0,0.0,17.5,296.0,209.0,12.2,0.0,10.2,6.1,0.0,0.0,0.0,0.0,
2023-02-18,Lunch,4:30 PM,810.0,17.0,5.0,0.0,0.0,0.0,70.0,1415.0,0.0,129.0,6.0,34.0,36.0,0.0,0.0,45.0,25.0,
2023-02-23,Breakfast,8:10 AM,490.0,16.5,3.1,4.3,3.8,0.0,57.5,1472.0,190.0,52.7,2.0,27.0,29.8,0.0,44.0,32.5,19.1,
2023-02-23,Breakfast,11:10 AM,150.0,0.3,0.1,0.1,0.1,0.0,0.0,869.0,70.0,33.0,0.6,0.6,3.0,0.0,2.0,2.0,9.0,
2023-02-23,Breakfast,8:10 PM,1590.0,58.5,21.5,0.0,0.0,0.0,165.0,3265.0,0.0,202.0,38.5,13.5,71.5,129.0,70.0,69.0,67.0,
2023-02-27,Breakfast,3:15 PM,195.0,8.3,0.3,1.3,4.5,0.0,0.0,65.0,190.0,24.5,1.0,23.0,4.0,0.0,0.0,22.5,3.6,
2023-02-27,Lunch,3:15 PM,460.0,16.0,1.0,0.0,0.0,0.0,0.0,440.0,180.0,70.0,4.0,20.0,8.0,0.0,0.0,4.0,20.0,
2023-03-01,Lunch,9:20 PM,858.0,10.5,11.6,3.1,6.7,0.5,50.0,1325.0,503.0,82.5,5.7,12.4,12.6,128.0,40.2,22.3,18.9,
2023-03-01,Lunch,9:40 PM,24.7,0.6,0.2,0.0,0.0,0.0,9.9,18.5,0.0,0.0,0.0,0.0,4.9,0.0,0.5,0.0,0.5,
2023-03-01,Dinner,9:05 PM,397.3,7.6,2.0,1.9,1.1,0.0,72.8,726.3,126.9,54.8,1.8,0.9,28.1,9.3,12.7,2.0,8.2,
2023-03-01,Dinner,9:10 PM,28.4,0.3,0.1,0.1,0.0,0.0,0.0,33.2,237.3,5.8,2.7,1.1,1.9,83.6,87.6,3.2,3.0,
2023-03-01,Dinner,9:15 PM,778.0,27.0,6.5,3.5,11.0,0.0,130.0,1420.0,870.0,75.0,6.0,2.0,34.0,10.0,6.0,24.0,36.0,
2023-03-01,Dinner,9:20 PM,170.0,13.0,8.0,0.0,0.0,1.0,45.0,270.0,45.0,1.0,0.0,0.0,10.0,6.0,0.0,30.0,0.0,
2023-03-01,Dinner,9:45 PM,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-02,Lunch,12:00 PM,403.0,13.5,5.1,3.1,2.7,0.0,0.0,325.0,138.0,66.5,3.7,28.4,5.6,0.0,0.2,2.3,12.9,
2023-03-02,Lunch,12:10 PM,709.5,22.2,9.2,2.0,1.1,0.0,99.0,1458.7,431.3,83.4,2.8,2.8,42.9,9.9,11.2,46.1,16.7,
2023-03-02,Lunch,12:15 PM,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,525.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,
2023-03-02,Lunch,3:15 PM,30.9,0.8,0.3,0.0,0.0,0.0,12.3,23.1,0.0,0.0,0.0,0.0,6.2,0.0,0.6,0.0,0.6,
2023-03-02,Lunch,3:20 PM,65.0,0.8,0.0,0.0,0.0,0.0,0.0,27.5,0.0,13.5,1.0,0.5,2.0,0.0,0.0,0.0,3.0,
2023-03-03,Breakfast,9:50 AM,303.8,4.3,1.3,0.6,1.3,0.0,7.0,192.3,968.5,64.2,5.5,35.7,7.5,7.6,25.7,53.2,6.5,
2023-03-21,Lunch,11:40 AM,188.7,0.7,0.2,0.2,0.1,0.0,0.0,2.1,759.0,48.4,5.5,25.9,2.3,9.0,30.7,1.1,3.1,
2023-03-21,Lunch,11:45 AM,126.2,3.4,0.0,0.7,2.0,0.0,0.0,232.7,242.5,24.9,2.2,21.5,1.6,0.5,0.4,64.0,7.1,
2023-03-21,Lunch,11:50 AM,415.1,22.6,4.2,0.7,1.4,0.0,191.4,1183.0,51.1,26.9,1.0,3.9,24.4,0.0,31.0,11.7,17.4,
2023-03-21,Lunch,11:55 AM,19.2,0.2,0.0,0.1,0.0,0.0,0.0,0.6,91.8,4.6,1.2,2.9,0.4,0.5,58.8,1.0,1.4,
2023-04-05,Breakfast,9:20 AM,77.6,1.6,0.0,0.0,0.0,0.0,38.8,791.5,0.0,1.6,0.0,0.0,14.0,0.0,31.0,0.0,3.1,
2023-04-05,Breakfast,9:30 AM,391.6,20.7,4.4,0.9,1.5,0.0,152.6,182.1,810.1,48.7,5.5,26.0,6.9,9.0,30.7,3.2,6.7,
2023-04-05,Breakfast,10:30 AM,66.0,3.8,0.1,0.8,2.1,0.0,0.0,231.7,247.8,6.9,2.6,0.2,2.1,0.5,0.2,64.1,7.5,
2023-04-05,Breakfast,2:30 PM,134.6,1.0,0.0,0.0,0.0,0.0,0.0,211.5,0.0,25.0,1.0,3.8,5.8,0.0,0.0,9.6,10.7,
2023-04-05,Lunch,2:30 PM,1465.0,43.0,25.0,3.5,15.0,1.5,225.0,3150.0,1441.0,113.0,9.0,4.0,54.0,146.0,56.0,76.0,48.0,
